排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
220,00859B,群益0-1年美債,40.58,-0.11,-0.27,09/18,0.56,0.67,-0.18,0.46,0.56,0.48,14.3,16.2,48.0,45.5,,44.8
221,3430,奇鈦科,103.5,1.0,0.98,09/18,0.16,0.33,0.32,0.44,0.57,0.84,-1.15,-4.34,-1.71,-2.07,,-2.71
222,3702,大聯大,114.5,3.5,3.15,09/18,0.01,0.31,0.29,0.44,0.86,0.22,-5.35,6.34,8.36,7.98,0.31,11.4
223,2478,大毅,120.5,2.5,2.12,09/18,0.25,0.14,0.26,0.44,-0.49,-3.62,-5.94,-0.44,4.68,4.96,8.43,1.33
224,4977,眾達-KY,175.0,2.0,1.16,09/18,0.15,-1.32,-0.03,0.44,-1.44,-2.43,-1.18,-8.16,-0.13,-0.25,-44.1,-0.62
225,6156,松上,20.65,0.05,0.24,09/18,0.05,0.35,0.43,0.43,0.35,0.29,2.72,2.95,3.26,-2.43,1.61,3.67
226,00631L,元大台灣50正2,37.65,1.24,3.41,09/18,0.35,0.52,0.57,0.43,-0.14,-0.35,1.63,-0.13,-0.11,1.82,3.87,-0.17
227,3229,晟鈦,64.4,5.8,9.9,09/18,0.5,0.69,0.75,0.43,3.77,1.12,2.64,3.2,3.76,3.88,4.68,3.4
228,6196,帆宣,540.0,24.0,4.65,09/18,0.08,0.05,0.01,0.43,0.68,0.92,3.01,5.92,8.81,14.5,20.9,2.74
229,3317,尼克森,56.2,1.1,2.0,09/18,0.15,0.16,0.33,0.43,0.22,0.38,-2.59,2.66,2.43,2.69,4.6,3.06
230,3338,泰碩,68.0,2.0,3.03,09/18,0.23,0.28,0.36,0.43,0.16,0.61,-0.21,0.73,1.1,-4.26,0.98,0.67
231,2353,宏碁,31.95,-0.45,-1.39,09/18,-0.07,0.16,0.35,0.43,-0.36,0.48,5.9,5.06,-6.65,-23.0,-7.46,1.28
232,3551,世禾,187.5,11.5,6.53,09/18,0.33,0.47,0.48,0.42,0.06,0.46,1.86,-1.16,0.61,-2.37,-1.97,-5.36
233,3535,晶彩科,88.5,2.0,2.31,09/18,0.11,0.27,0.67,0.42,-0.52,-0.32,-0.83,-7.89,-9.68,-1.5,-1.17,-8.42
234,3545,敦泰,51.6,1.1,2.18,09/18,0.2,0.33,0.41,0.42,0.47,0.8,1.7,3.34,-5.04,2.55,-11.3,1.09
235,3312,弘憶股,51.1,2.35,4.82,09/18,0.26,0.36,0.37,0.42,0.3,-0.07,0.17,1.92,0.24,-2.99,-17.1,-0.01
236,6691,洋基工程,650.0,40.0,6.56,09/18,0.39,0.29,0.44,0.42,0.29,-1.63,-7.16,-5.27,-7.4,4.32,,-6.42
237,9921,巨大,90.8,0.8,0.89,09/18,0.08,0.12,0.17,0.41,-0.38,0.49,4.73,4.73,3.42,3.99,4.88,5.41
238,6234,高僑,38.5,3.5,10.0,09/18,0.18,0.25,0.3,0.41,0.16,0.61,0.91,0.31,-1.5,-1.08,1.7,2.61
239,2471,資通,53.1,0.8,1.53,09/18,0.6,0.87,0.89,0.41,0.27,0.73,-0.75,-0.78,4.14,2.61,3.19,1.82
240,6834,天二科技,110.5,9.0,8.87,09/18,1.13,1.18,1.29,0.41,1.64,2.68,1.39,3.57,3.03,3.27,,3.24
241,4760,勤凱,265.5,9.0,3.51,09/18,0.36,0.25,0.19,0.4,-0.67,-0.82,-1.29,-7.32,-2.31,-0.19,,2.56
242,2371,大同,29.2,-0.5,-1.68,09/18,-0.33,0.31,0.32,0.4,0.54,0.84,1.69,-2.65,-4.41,-9.59,-6.29,-5.13
243,00734B,台新JPM新興債,15.33,0.02,0.13,09/18,0.37,0.39,0.39,0.4,0.71,0.56,1.01,5.94,6.86,31.4,,6.41
244,2364,倫飛,64.6,-0.4,-0.62,09/18,0.03,0.33,0.38,0.4,-0.94,-2.56,3.33,3.88,-2.95,0.38,-0.05,2.86
245,4968,立積,92.0,0.4,0.44,09/18,0.04,0.21,0.27,0.39,0.44,0.78,0.47,-3.01,-7.87,-13.5,-20.7,-7.54
246,4714,永捷,12.1,0.6,5.22,09/18,0.27,0.5,0.6,0.39,0.4,-0.24,0.17,-0.1,-4.02,-1.87,-1.86,-0.79
247,2241,艾姆勒,34.45,0.75,2.23,09/18,0.18,0.29,0.32,0.39,0.38,-0.22,-7.31,-3.22,-2.4,-5.79,,-4.48
248,4903,聯光通,37.6,3.4,9.94,09/18,0.42,0.39,0.36,0.39,-0.06,0.34,-0.11,-3.93,-2.13,-1.97,-2.08,-4.48
249,00402A,主動安聯美國科技,9.62,0.1,1.05,09/18,0.34,0.36,0.36,0.39,0.69,0.38,1.26,,,,,
250,00955,中信日本商社,16.33,-0.23,-1.39,09/18,0.02,0.03,0.18,0.38,0.73,2.39,4.14,9.1,6.75,,,7.9
251,6902,GOGOLOOK,141.0,12.5,9.73,09/18,0.19,0.31,0.31,0.38,0.38,0.4,0.48,0.73,0.51,0.75,,0.49
252,00896,中信綠能及電動車,27.13,0.5,1.88,09/18,0.19,0.37,0.4,0.38,0.24,-0.42,0.82,1.94,4.76,5.78,,4.17
253,3437,榮創,22.35,2.0,9.83,09/18,-0.3,0.11,0.48,0.38,0.0,0.41,0.59,-1.07,-0.94,-2.11,-4.74,-1.69
254,8436,大江,103.5,-0.5,-0.48,09/18,-0.26,0.22,0.59,0.38,-0.13,-1.55,-5.06,-6.22,-6.66,-5.27,-5.62,0.24
