股票代號,股票名稱,法人持股,上榜區塊,累積衰退
6182,合晶,-1.9102095486429305,"20日衰退,5日衰退,10日衰退,30日衰退",-0.6373882443302876
6192,巨路,21.31159999134737,20日衰退,-0.6645691880996836
6209,今國光,2.2393954083865237,5日衰退,-0.6560265758034083
6214,精誠,14.826367530550804,10日衰退,-0.6362754166895837
6226,光鼎,2.5230683509535816,"20日衰退,5日衰退,10日衰退,30日衰退",-4.296815568166226
6239,力成,14.065060849733015,"20日衰退,5日衰退,10日衰退,30日衰退",-1.303249260748224
6257,矽格,17.71288852169657,"20日衰退,5日衰退,10日衰退,30日衰退",-0.4999328246082584
6271,同欣電,32.50348870493485,"30日衰退,20日衰退",-3.977975432122143
6278,台表科,5.5361937968918715,30日衰退,-1.5748855468758425
6282,康舒,13.408385233706188,"30日衰退,5日衰退",-0.5609135894744526
6291,沛亨,3.177564285714286,"20日衰退,10日衰退,30日衰退",-0.7440833333333337
6414,樺漢,42.38832717192954,"5日衰退,10日衰退",-2.0767381499592474
6432,今展科,-1.980140717540622,20日衰退,-0.7026274796969485
6438,迅得,5.160383008849988,30日衰退,-1.3795022311239435
6442,光聖,30.419213243902387,20日衰退,-1.2003071665927827
6449,鈺邦,9.502262258106004,"20日衰退,5日衰退,10日衰退",-0.8450782514083173
6488,環球晶,6.549040816596512,"20日衰退,5日衰退,10日衰退,30日衰退",-0.4032469471567657
6515,穎崴,23.879273921152542,"20日衰退,5日衰退,10日衰退,30日衰退",-0.6116596079220962
6525,捷敏-KY,17.03557541561633,10日衰退,-0.642831766663317
6533,晶心科,11.129425981499129,"20日衰退,5日衰退,10日衰退",-1.8525256627664604
6579,研揚,4.284970261323759,5日衰退,-0.672915955441832
6592,和潤企業,23.01645316812592,30日衰退,-3.049607662929219
6641,基士德-KY,26.98702191780822,"20日衰退,5日衰退,10日衰退,30日衰退",-1.7279068493150689
6658,聯策,2.1010943084960134,"20日衰退,10日衰退,30日衰退",-0.6081000824855649
6672,騰輝電子-KY,21.03451004409689,"30日衰退,20日衰退",-4.218805139571785
6683,雍智科技,1.9145767591951872,20日衰退,-1.2329354246614874
6691,洋基工程,15.623600538967029,"30日衰退,20日衰退",-0.8250165481207148
6695,芯鼎,4.018814497690361,"30日衰退,20日衰退",-1.340020163855982
6715,嘉基,7.5294216648159376,"30日衰退,20日衰退",-0.7945198851201498
6719,力智,7.293890503515183,"5日衰退,20日衰退",-0.3688895059704276
6757,台灣虎航,-6.212336082519095,"5日衰退,10日衰退",-0.5989695993732722
